customer_message,americanair_reply
"@AmericanAir, Your crews on AA2283 and AA1588 today were phenomenal. Received, what I assume, was a #VeteransDay2017 perk on my way to TUS. It is much appreciated and factors into future travel decisions. Thanks!","@659137 Thanks for joining us on board, Ryan. We're so glad you had a great time with us."
@AmericanAir 2/2 bring bags? All you did was slap the word basic on the ticket to find a way to charge more fees,"@188247 We still have $300 fares that aren't Basic Economy. There are just limited per flight. If you need assistance, please give our team a call."
And at 6’3” 240 that seriously sucks for both me and the people on either side of me. Would think @AmericanAir could do better. #DreamOn https://t.co/WDiqAhb6s9,@601685 Please check with our team at the gate or on board if another seat option is available. We always want you to be comfortable with us.
Diverted to San Juan heading on our honeymoon to St Lucia. Flight 2295 Thanks @AmericanAir,"@627380 Happy honeymooning, John. We're so happy we get to share this new journey with you."
@AmericanAir every day the service seems to get worse; flying sucks anymore,@631510 We never want to disappoint you. Please follow and DM your record locator and details so we can look into this for you.
"Before group 5 had even halfway boarded, overhead space was gone and bags had to be gate checked. @AmericanAir that's pathetic.","@513369 We ask each customer to stow only one item overhead, allowing others behind some space too."
@AmericanAir How do I get my money refunded for an upcoming flight? You are not answering customer service. Don't want to fly racist airline,@386835 We don't tolerate discrimination of any kind.  You're welcome to change or refund your reservation under our normal policies.
@AmericanAir Very kind of you. Would you like my wife’s number to explain why I won’t be home for dinner?,@153030 Safety for our customers is of the utmost importance. We appreciate your understanding with the need for extra travel time today.
Hey @AmericanAir. Flight 4949 flight attendant named Josh. Guy is an all star with a solid in-flight comedy routine to boot. This man deserves a raise!,@277697 We're sorry we missed it and love getting shout-outs for our #AATeam.  DM us your record locator and we'll pass along your thanks.
"Oh, ok, @AmericanAir, I'll just stay over here in the poors (&lt;$100,000) section. Thanks for your revealing survey! https://t.co/5HszJrqgdo",@237350 You're welcome to not share that information. It's our pleasure to fly you to #AAmazing destinations.
@AmericanAir thanks for changing my family's flights so that we were not sitting together (even tho we bought assigned seats together). 😡,"@664145 Changes are never fun, we understand. If you're not in similar seats, we'll be refunding the cost back to you soon."
"@AmericanAir is trying very hard to become large scale Spirit Air!! Look at the basic economy. They did not reduce price, cut the benefits.","@423898 You can still purchase Main Cabin tickets with all the great perks you're used to, Dinesh. We'd like to keep seeing you on board."
"Great travel day, got on an earlier flight, got a window seat, and arrived early! #HomeEarly  @AmericanAir","@225454 It sounds like you're having a terrific day, Thomas! #homesweethome"
Trying to make things easier for all @AmericanAir in @135445 w/ hurricane coming you would think they would jump at changing fights early.,@296750 We're keeping a close eye on the storm so please check for updates to our travel alert here: https://t.co/kNkPUilgez
