customer_message,americanair_reply
@AmericanAir Liz your CSA in Buffalo-Niagra is great.  If it wasn’t for her dedication to customers I don’t think I’d be flying w/you again,"@370037 We're so glad Liz has taken great care of your travel needs today, Stephen."
@AmericanAir We're here...a little bumpy but beautiful in Miami,@699108 We're glad to hear you made it in. Enjoy your trip!
"@AmericanAir hello, we were delayed 8 hours yesterday. How do we claim compensation?",@406273 Please follow and DM your record locator and we'll gladly take a look.
So @AmericanAir charged my credit card randomly without my knowledge. Pretty sure that’s theft and against the law.,"@368059 Rebekah, if this purchase wasn't approved. Please call our team at 800-433-7300 for assistance."
@AmericanAir I’m watching you guys on the Today Show! #AAFamous! It’s happening now!,"@269301 Aww, shucks! Little ol' us? We're always here for you behind the scenes but we have to admit, we're loving being a little fAAmous today!"
"@AmericanAir By the way,58c6y82 is my AA number",@734966 We appreciate the feedback you provide. We're sorry to hear we let you down.
Why load the shuttle if the plane is not ready? Now we are locked in here? @AmericanAir then don’t tell us it is delayed another 30 min,"@247729 We're sorry to keep you waiting, our team will get you to your destination as quickly as possible."
@AmericanAir done. Can I get a call from customer support anyways?,@390490 Our team works directly via Twitter. Once your item is located someone from our team will contact you directly.
"The people behind me on this @AmericanAir flight are talking about how long before the A.C. vents, lights, and windows are operated by credit card.",@271066 We enjoy offering lots of perks in flight. From free streaming entertainment on domestic flights to free drinks and snacks.
How 50000 mile points are not even enough to afford you a trip to NYC over the holidays on @AmericanAir,@718434 You're able to purchase award travel 331 days in advance and it's based on availability. Keep checking as it's always changing.
Congratulations capitan for 17 years of service w @AmericanAir happy retirement!!! #AA235 https://t.co/tFQTk7mMD8,@291532 We love this pic! Congratulations on 17 years and a very happy retirement captain.
@AmericanAir Glad I scheduled that 1pm meeting.... https://t.co/zklEBXueO3,"@159676 We're sorry for the delay this morning, Dustin. It looks like the aircraft had a previous maintenance delay."
Free #WiFi on my  @AmericanAir thanks to @115911 just for being a customer. https://t.co/43gb1vSVlG,"@770293 That's awesome, Aaron! We're happy you're taking advantage of the service and enjoying it."
"I 100% got bug bites on an @AmericanAir flight! Their response... “While we usually do not comment, we can say we do not believe that the allegations in the complaint are valid.” #dobetteramerican https://t.co/rQnerOhG2C",@792171 We're sorry you're disappointed in the resolution of your request. Our Customer Relations Team has the final say.
"@AmericanAir your ""no overhead bin space"" when YOUR flight makes me late to another makes me reconsider my airline loyalty #travelwoes https://t.co/dopU1B7ynM",@204658 We don't like when delays happen affecting your connecting flight. Our team will take great care of your bag.
"✈️ American Airlines 
📸 @AmericanAir 
#Avgeek https://t.co/b3xDXlPQsQ",@528075 That's a great looking #tAAil and we're so proud to share our nation's colors.
@AmericanAir can you at least have the decency to tell people sitting on the tarmac for 3 hours whether this flight is canceled so we can make other plans. Transparency is a good thing!,@657757 We're sincerely sorry. Our crew will be providing you with an update very soon and we appreciate your patience.
"@AmericanAir The internal flight's facilities were much better thank you. Power, seat screen, USB charging.",@199209 We're glad you had a great time on board that flight!
"@171677 @Delta Switch to @AmericanAir, great online booking system 🙌🏼😉",@171678 We're so glad you have a great time booking with us!
@AmericanAir Gotta love international flights on @AmericanAir,"@344324 Our crew members will walk through the cabin momentarily, Thomas. We appreciate your patience."
@AmericanAir we shouldn't have to pay an additional 70 dollars per round trip for legroom. At least stop the seats from reclining if you squeeze us like this. https://t.co/aYEhaBFEMh,"@232427 We always want you to be comfy, Todd, but the seats with added comfort and leg room do come with an additional fee."
@AmericanAir Just received my bag. Thanks.,"@748359 Great news, Chris. Thanks for letting us know."
@AmericanAir Not a happy customer stop being greedy 😶,"@454740 Bags need to be checked at the ticket counter on arrival, there's an additional $25 charge for bags checked at the gate."
"@AmericanAir Well, they weren’t, not today and not at O’Hare. And, on top of the sour service, flight was delayed 2 hours. Def not satisfactory service.",@473870 We hope you'll give us another chance to impress you.
Get bumped as an @AmericanAir #conciergekey #priceless 👎👎👎,"@306037 We're sorry we were unable to hold the earlier flight for you, Ben."
"Update. It shouldn't surprise anybody when I got the canned ""Blah blah blah customer service. Blah blah our apologies"" from @Americanair","@162594 We're having a specialist review this for you, Fred. They'll be in contact directly soon."
@AmericanAir your buy mikes sales make me laugh. Your processing fee is more than the cost of the miles!! #AAScam https://t.co/kPnriYaCkO,@563299 The processing charge is not based on the amount of miles purchased. It's a flat charge. We hope you use your miles with us soon!
@AmericanAir hi guys how are you doing today,"@143433 Hey there, Tim. How can we help?"
"@AmericanAir I did, twice. Both employees literally said ""I don't know, I didn't do it. Not my problem.""",@526472 Please check with our crew on board to see if anyone can switch with you so you can sit together.
"@AmericanAir #fail again, 20+ minutes on aircraft at gate with no one to let us off #aa32 LAX to JFK, almost forgot why I fly Southwest these days.","@761978 We don't want you disappointed, our team will be with you as quickly as they can."
